,1819 - Fall Semester,,,,,,,,,,,,,,1819 - Spring Semester,,,,,,,,,,,,,1920 - Summer Semester,,,,,,,,,,,1920 - Fall Semester,,,,,,,,,,,,,,,1920 - Spring Semester,,,,,,,,,,,,2021 - Summer Semester,,,,,,,,,,2021 - Fall Semester,,,,,,,,,,,2021 - Spring Semester,,,,,,,,,,2122 - Summer Quarter,,,2122 - Fall Quarter,,,2122 - Winter Quarter,,,2122 - Spring Quarter,,,NBEO First Time Pass Rate,,,,,
89032,A-,D+,C+,B,B,C,B+,B-,A,B-,P,2.71,2.71,,B,D,C,C,B+,B,B,B,C+,P,2.39,2.55,,A,B+,B-,B,C+,P,B,P,2.96,2.63,,C+,C+,B,C+,C-,C+,B,C+,P,B+,C,P,2.44,2.58,,B,C,C+,D+,C,P,B,B,P,2.45,2.56,,C+,B-,B,C-,P,B-,P,2.52,2.55,,B,C+,D+,C+,P,D+,C+,P+,1.94,2.48,,P,B-,B-,A-,P,P+,P+,2.88,2.5,,P,2.5,,H,2.5,,P,2.5,,H,2.5,,212,121,232,375,491,174
92594,A-,D,C-,C,C+,C,C,B+,A,C-,P,2.31,2.31,,B,D+,C,C,A,B-,C-,B-,C,P,2.27,2.29,,C+,C+,C,C,B,P,B-,P,2.47,2.33,,C-,D+,C,B-,C,B,B-,B-,P,B-,C,P,2.24,2.3,,C+,C,C+,C,C,P,A-,B,P,2.61,2.35,,C,C+,C,C-,P,C-,P,1.96,2.31,,B,B-,C+,B-,P,C,B-,P,2.49,2.33,,P,A,C-,B+,P,P,P,2.82,2.36,,P,2.36,,P,2.36,,H,2.36,,P,2.36,,268,231,176,,293,285
92403,B+,C-,B-,B,B+,C+,C,B-,B+,C+,P,2.67,2.67,,B,D+,B,C+,A,C-,C,C+,C-,P,2.26,2.47,,A,C+,B-,C,C,P,C+,P,2.45,2.46,,C+,C+,C+,B,B-,B,B,C+,P,B+,C-,P,2.51,2.48,,B,B,C,C+,C,P,B+,C+,P,2.54,2.49,,D+,C+,C+,C-,P,B,P,2.09,2.45,,A-,B-,C+,B,P,C,B,P,2.68,2.48,,P,B,B,A,P,P,P,3.18,2.52,,P,2.52,,H,2.52,,H,2.52,,H,2.52,,357,,,,455,386
92509,A,C,B-,B-,B,D,B,A,A-,B-,P,2.77,2.77,,A-,B-,B,A-,A,B,A,A,B-,P,3.26,3.01,,B+,B,B-,B,A-,P,A,H,3.36,3.08,,C+,B,B-,B+,B,A-,A-,A-,P,A,B-,P,3.14,3.1,,A,A-,A-,C+,B-,P,A,A-,P,3.53,3.16,,A-,B+,B,B,P,B+,P,3.3,3.18,,A,A,B+,A,P,A-,B+,H,3.7,3.24,,P,A,B+,A,P,H,H,3.68,3.27,,H,3.27,,H,3.27,,H,3.27,,H,3.27,,458,,,,604,631
83373,B,D,D+,B-,C+,D,C-,C+,A-,C,P,1.99,1.99,,A,D-,C,C+,A,D+,C+,B,D,P,2.05,2.02,,A,C-,B-,D+,B-,P,C-,H,2.31,2.08,,C+,C+,C,B,C-,C+,B,C+,P,B,C,P,2.34,2.15,,B,B-,C,D,C-,P,A-,B+,P,2.58,2.22,,C-,C+,B,C-,P,C+,P,2.2,2.22,,A-,C+,B-,B-,P,C+,C+,P+,2.67,2.27,,P,B,D,B+,P,H,H,2.14,2.27,,H,2.27,,H,2.27,,P,2.27,,P,2.27,,100,100,241,,342,319
80366,A-,B-,B,B,A-,C,A-,A-,A-,B-,P,3.12,3.12,,A,C,B,B,A-,B+,B+,A-,B-,P,3.06,3.09,,A,B,B-,B-,B+,P,B,P,3.12,3.1,,B-,C+,B-,A-,C+,A-,A-,A,P,A-,B-,P,3.09,3.09,,A,B+,B,C,B,P,A-,A-,P,3.28,3.12,,B+,B-,B+,B-,P,B+,P,3.1,3.12,,B+,B,B,B-,P,B,B+,P,3,3.1,,P,B+,C+,A,P,P,P,2.97,3.1,,H,3.1,,H,3.1,,P,3.1,,H,3.1,,325,,,,233,190
93710,A,B-,B+,A,B,B-,A-,A,A,B+,P,3.36,3.36,,A-,C,B+,B,A,A,A,B,B,P,3.24,3.3,,A-,B,B+,C+,A-,P,A-,P+,3.34,3.31,,C+,B-,B,A,B-,B+,B+,A,P,A-,B+,P,3.26,3.3,,A,C+,A-,C+,B,P,A,A-,P,3.44,3.32,,B,B-,A-,C,P,B,P,2.94,3.28,,A,A,A-,B+,P,A-,B,P,3.61,3.32,,P,A,B+,A,P,P,P,3.68,3.34,,P,3.34,,H,3.34,,P,3.34,,P,3.34,,508,,,,373,418
92949,A-,B+,A-,B,A,A-,A-,A,A,B,P,3.62,3.62,,A-,C,A-,B-,A,A-,B,A,B,P,3.21,3.42,,A,B-,A-,B,B+,P,B+,H,3.28,3.39,,B,B,C+,A-,B,A-,B+,A-,P,B+,B-,P,3.08,3.31,,A-,B+,B,B,A-,P,A,B+,P,3.45,3.33,,B+,B,B,B-,P,B+,P,3.1,3.31,,A,A-,B+,B+,P,A-,A-,P+,3.55,3.34,,P,A,A,A-,P,P+,P+,3.94,3.37,,H,3.37,,H,3.37,,H,3.37,,P,3.37,,515,,,,470,174
92950,A-,C+,C+,C+,B-,C,B+,C-,B,D+,P,2.4,2.4,,A,C+,B,B,A,B,B-,A,C+,P,2.99,2.69,,A,B,B,C-,B+,P,B,H,3.03,2.76,,B,A-,B,A-,C-,A-,A,C,P,B+,C-,P,2.86,2.79,,A-,A-,B,B-,C,P,B+,B-,P,2.99,2.82,,B+,B+,B,B+,P,B+,P,3.24,2.86,,A,B+,B,A,P,A,A-,H,3.68,2.96,,P,A-,B+,B+,P,H,H,3.44,2.99,,H,2.99,,H,2.99,,H,2.99,,H,2.99,,349,,,,389,624
94360,A-,B,B,A,B+,B,B+,A-,A,B,P,3.32,3.32,,C+,B,B,B,A,B,B,A,C+,P,2.91,3.12,,B+,B+,B-,B-,A-,P,B+,P+,3.25,3.14,,B+,C+,B-,B-,B,B,A-,B,P,B+,F,P,2.47,2.96,,B,B,B,B,C-,P,A,B,P,2.91,3.05,,B-,C,B,C+,P,B,P,2.62,3.01,,A,B+,B-,B-,P,A-,B,P,3.18,3.03,,P,A-,B,B+,P,P,P,3.3,3.05,,H,3.05,,H,3.05,,H,3.05,,H,3.05,,486,,,,404,507
93115,B+,C+,B+,B+,B+,B-,B-,A,A-,B-,P,3.1,3.1,,B+,B,B,B,A,A-,A-,A-,B+,P,3.36,3.22,,A,B,B,C+,A-,P,B+,P+,3.26,3.23,,B,B+,B,A-,B+,A-,A,B-,P,A,B-,P,3.26,3.24,,A-,B+,A,B+,B-,P,A-,B+,P,3.5,3.28,,B,B-,B+,B-,P,B-,P,2.9,3.24,,A-,B+,B,B,P,B,B+,H,3.15,3.23,,P,B+,C+,A,P,P+,H,2.97,3.22,,H,3.22,,P,3.22,,H,3.22,,P,3.22,,628,,,,530,578
77748,A-,C+,C,C,B,C+,B,B,A,B-,P,2.76,2.76,,B-,B,B+,B-,A,B,B,A-,C,P,2.9,2.83,,A,C+,B-,B-,B,P,A-,H,3.05,2.87,,D+,C,B-,A-,C,B-,B,B-,P,B,C,P,2.54,2.78,,B+,B,B+,C,B-,P,A-,B+,P,3.16,2.84,,C,B-,B,B-,P,B+,P,2.69,2.82,,A,B,B,C+,P,B+,B,P+,3.04,2.85,,P,B+,B,A-,P,H,H,3.23,2.87,,H,2.87,,H,2.87,,H,2.87,,P,2.87,,294,475,,,367,545
92404,A-,B,B+,B,B,C+,B,C,A,B-,P,2.95,2.95,,B,C,C,B,A,C,C,A-,C-,P,2.4,2.68,,A,C,B-,C,B-,P,B-,H,2.64,2.67,,C+,C+,C,B,C,B+,B+,B+,P,B,C-,P,2.5,2.62,,C-,B-,C-,C-,D+,P,B,B,P,2.2,2.55,,C,C-,C+,D+,P,C+,P,1.96,2.5,,B,B-,C+,B,P,C+,B-,P,2.62,2.51,,P,B,B,B+,P,P,P,3.05,2.54,,H,2.54,,H,2.54,,H,2.54,,H,2.54,,294,346,,,389,363
95280,A,D,C-,C,B,B,B,B+,A,B-,P,2.77,2.77,,C+,C-,B-,B,C-,C,C-,A-,C,P,2.18,2.48,,B+,C,C,C,C,P,C+,P+,2.21,2.43,,B+,C,C-,B-,D+,B-,B,C+,P,B+,F,P,2,2.31,,B-,B+,B,D,D+,P,A,B,P,2.47,2.43,,C-,D+,C+,C-,P,B-,P,1.94,2.38,,B+,C+,C,B-,P,C-,B,P+,2.38,2.38,,P,A-,C-,B+,P,P+,P+,2.71,2.4,,H,2.4,,H,2.4,,P,2.4,,P,2.4,,123,100,100,194,208,100
90793,B,B,C+,A,A-,B-,B,A-,A-,B-,P,3.1,3.1,,B+,B+,B+,B,A,B+,A-,B+,B-,P,3.25,3.17,,B,B,B-,B+,B,P,B+,H,3.05,3.15,,C,C+,B-,A-,B-,A-,A-,B,P,B+,B,P,3,3.11,,B,B,B-,B,B-,P,A-,B+,P,3.09,3.1,,B-,C+,B-,C-,P,B,P,2.54,3.05,,B,B,B,C+,P,B,B-,P+,2.81,3.02,,P,B+,C,B,P,P+,P+,2.65,3,,P,3,,H,3,,P,3,,H,3,,407,,,,604,256
85750,A-,C-,B-,B,A-,B-,C+,A-,B+,C+,P,2.94,2.94,,A-,B+,B,A-,A,B-,A-,B+,C,P,3.1,3.02,,A-,B,C+,B-,C,P,B,H,2.71,2.96,,C,B,C+,A-,B-,B-,A,B-,P,B+,C,P,2.77,2.91,,B,B,B,C+,B-,P,A-,B,P,3.05,2.93,,B,B-,C+,B-,P,B,P,2.76,2.91,,A,A-,C+,B,P,B,B,P+,3.04,2.93,,P,B,C+,B+,P,H,H,2.73,2.92,,P,2.92,,H,2.92,,P,2.92,,H,2.92,,363,,,,404,658
94309,A-,C,C+,A-,B,B-,B+,B+,A,B-,P,2.97,2.97,,A,C-,B,B,A,B,B-,A-,B-,P,2.96,2.97,,A,B-,B+,B-,B+,P,A,P+,3.33,3.04,,C+,B-,B,B,C,A-,A-,B,P,B+,C+,P,2.84,2.98,,B+,A-,B,C,C+,P,A,B,P,3.13,3,,B+,B-,B+,C,P,A-,P,3.08,3.01,,B+,A,A-,B,P,B,B+,P,3.31,3.05,,P,B+,B,A,P,P,P+,3.29,3.06,,P,3.06,,P,3.06,,H,3.06,,P,3.06,,244,376,,,419,416
93761,A,B-,B,A,B+,B,B+,B+,A-,B,P,3.27,3.27,,B,A-,A-,B,A,B+,B,A,B+,P,3.43,3.35,,A,B,B+,B+,A,P,B+,H,3.5,3.38,,B+,B+,B,A-,B,A-,A,B+,P,A-,B-,P,3.28,3.35,,B+,A,A-,B+,B,P,A,A-,P,3.62,3.4,,B+,B-,B+,B,P,B,P,3.08,3.36,,A,A-,A-,B,P,B+,A-,H,3.49,3.38,,P,B+,B+,A-,P,H,H,3.37,3.38,,H,3.38,,H,3.38,,H,3.38,,P,3.38,,622,,,,505,525
77444,A,B-,B-,B,B,B,B,A-,A,C+,P,3.09,3.09,,A-,C+,B+,C+,A,B-,B,B,C+,P,2.88,2.99,,A,B-,C+,C+,B-,P,B,P+,2.81,2.95,,C+,B-,B-,B+,B,B-,B,C,P,A,B-,P,2.85,2.92,,B+,B,B+,C,C+,P,A-,B,P,3.06,2.95,,C+,B-,B+,B-,P,B-,P,2.71,2.92,,A,A-,B-,B,P,B,B,P+,3.13,2.95,,P,A-,B-,B,P,P+,P+,3.11,2.96,,H,2.96,,P,2.96,,P,2.96,,H,2.96,,486,,,,547,600
81066,A-,B-,B,A,B+,B-,B,B+,A,B,P,3.2,3.2,,A,B,B+,B+,A,B,B+,A-,C,P,3.12,3.16,,A-,A-,B,C+,A-,P,B+,P+,3.36,3.2,,B,B,B,B,C+,A,A-,B+,P,B-,B-,P,2.99,3.14,,B+,B,A-,B,B,P,B+,B,P,3.25,3.16,,B-,B,A-,B,P,B-,P,3,3.14,,A-,B+,A-,B+,P,A-,B+,P+,3.53,3.19,,P,A-,B+,B+,P,H,H,3.44,3.2,,H,3.2,,H,3.2,,H,3.2,,H,3.2,,382,,,,427,425
89615,A,B,B+,A-,B+,B+,A-,A,A,B-,P,3.43,3.43,,A,B+,B+,B,A-,A,A,A,B,P,3.5,3.47,,A,B,B+,B,A-,P,B,H,3.33,3.44,,B,C+,B,A,B-,A,A,A,P,A,A-,P,3.45,3.44,,A-,A-,B,B+,B-,P,A-,B+,P,3.31,3.42,,B+,B,C+,A-,P,B+,P,3.09,3.39,,A,B,B,C+,P,B+,B,H,3.04,3.34,,P,A-,B-,A,P,H,H,3.3,3.34,,P,3.34,,H,3.34,,P,3.34,,H,3.34,,516,,,,426,435
71934,A,A,A,A,A,A,A-,A,A,A,P,3.98,3.98,,A,A,A,A,A,A,A,A,A,P,4,3.99,,A,A,A,A,A,P,A,P+,4,3.99,,A,A,A,A,A-,A,A,A,P,A,B+,P,3.86,3.95,,A,A,A-,A,A,P,A,A,P,3.93,3.95,,A,B,A-,B+,P,A-,P,3.58,3.91,,A,A,A,A,P,A,A-,H,3.97,3.92,,P,A,A,B+,P,H,H,3.87,3.92,,H,3.92,,H,3.92,,H,3.92,,H,3.92,,708,,,,707,450
86396,A,B-,C+,A-,B-,C+,B+,A-,A-,C+,P,2.94,2.94,,B-,C+,B+,C,A,B-,B+,A-,B-,P,2.9,2.92,,A,C+,C-,C+,A,P,B-,H,2.93,2.92,,C+,C-,C,B,C-,A-,A-,B-,P,B+,B-,P,2.59,2.83,,B-,B,B,D,C,P,B+,B,P,2.72,2.81,,B-,B,C,C-,P,B,P,2.54,2.78,,B-,B+,C,B-,P,C,C+,P+,2.4,2.74,,P,B,C+,A,P,P+,P+,2.86,2.74,,P,2.74,,P,2.74,,H,2.74,,P,2.74,,100,174,235,256,441,436
87972,B,D,C-,B-,B,C,B,C+,B,C-,P,2.29,2.29,,B,D+,B-,B,A,B,B,B-,C,P,2.56,2.42,,B+,B,C,C+,B,P,B-,P+,2.76,2.49,,C-,C-,C+,A-,C,B-,B,B-,P,B,C+,P,2.52,2.5,,B+,B,B+,B-,C-,P,B,B,P,2.89,2.56,,B,B-,B,B,P,B+,P,3,2.6,,B+,B,B-,B,P,B-,B,P,2.9,2.64,,P,B+,B,A-,P,P+,H,3.23,2.68,,H,2.68,,P,2.68,,H,2.68,,H,2.68,,300,,,,342,340
83024,B,C,B-,A-,A-,A-,B+,A-,A,B-,P,3.22,3.22,,B,B+,B,B-,A,B,B-,A-,C+,P,2.98,3.1,,A,B-,B+,C+,B+,P,B+,P,3.15,3.11,,C+,B-,B-,A-,B-,B+,B,B-,P,B+,F,P,2.49,2.94,,B-,C+,C+,C+,C+,P,B+,B-,P,2.55,2.97,,B,B,B+,C,P,C+,P,2.78,2.95,,A,B,B,B+,P,B,B+,P,3.23,2.99,,P,B+,B,A,P,P+,H,3.29,3,,P,3,,H,3,,P,3,,H,3,,331,,,,455,195
92854,A,D,C-,C,B,C-,B,A-,B,C+,P,2.48,2.48,,B,D,C,B,A,B,A-,A-,C,P,2.59,2.54,,A,B-,C-,B-,B-,P,C,H,2.55,2.54,,C,B-,B-,A-,D,B,A,A-,P,B+,C,P,2.37,2.49,,B,B,B+,C,B,P,A,B,P,2.79,2.54,,B-,C-,B,C,P,B,P,2.04,2.49,,A,B,B,B-,P,B,B,P,2.86,2.54,,P,B,B-,B+,P,P,P,2.91,2.56,,H,2.56,,P,2.56,,H,2.56,,H,2.56,,100,100,100,,263,430
89963,A-,D,D+,C,C+,D+,C,B-,B+,C+,P,2.17,2.17,,B+,D-,D+,C+,A,B-,B,C+,C+,P,2.27,2.22,,A-,C+,D+,C,C+,P,C+,H,2.36,2.25,,D+,C,C-,A-,D+,B+,B+,B+,P,B+,D+,P,2.73,2.38,,C+,B-,C+,D-,C+,P,A-,B+,P,3.05,2.49,,C+,C+,C,D-,P,B,P,2.64,2.5,,B,B+,B,C,P,B-,B,P,2.93,2.56,,P,B+,C+,B+,P,P,P,2.84,2.58,,P+,2.58,,H,2.58,,P,2.58,,H,2.58,,100,100,100,380,100,467
95125,A-,C+,B-,A,A-,C,B-,A,A-,B,P,3.11,3.11,,B+,C,B-,B+,A,A,A,A,B-,P,3.13,3.12,,B+,B+,A,B,B+,P,B+,P+,3.35,3.16,,B,B-,B-,B+,D,A-,A,A-,P,B,C+,P,2.83,3.07,,B-,B,C+,D+,B,P,A-,A-,P,2.91,3.04,,B-,B-,B,D,P,A-,P,2.73,3.01,,A,B,B,B+,P,B,A-,P,3.26,3.05,,P,A-,B,A-,P,P,P,3.38,3.06,,P,3.06,,H,3.06,,H,3.06,,H,3.06,,193,448,,,189,534
85622,A,C+,B+,A,A,B-,B+,B,A,C,P,3.21,3.21,,B+,B,B+,B,B+,B+,A-,A,C,P,3.03,3.12,,A,B,B,B,A,P,A-,P+,3.5,3.2,,B-,B+,B-,B,B-,B+,B,B-,P,A,B,P,3.01,3.14,,B+,B,B,C,B,P,B,B,P,2.93,3.11,,C+,B-,B,C,P,C+,P,2.48,3.05,,B+,B,C,B-,P,C,B,P+,2.51,2.98,,P,B+,B+,A,P,P+,H,3.42,3.01,,P,3.01,,H,3.01,,P,3.01,,H,3.01,,401,,,,485,232
92816,A,C,B-,A,B,C+,B,B+,A,C+,P,2.95,2.95,,C+,C+,B,B-,A,C+,B,C+,C,P,2.56,2.76,,A-,C+,B-,C-,B-,P,B-,P+,2.62,2.73,,B+,B,B,B,B,B,B,C+,P,B,C+,P,2.84,2.76,,A-,B,B,A-,B-,P,A,B+,P,3.35,2.85,,B,B,B+,B,P,B,P,3.06,2.87,,A,A-,B,B+,P,B,B+,P,3.29,2.93,,P,B+,B+,A,P,P,P+,3.42,2.96,,P,2.96,,H,2.96,,P,2.96,,P,2.96,,455,,,,491,471
93762,B+,C+,B+,A,B+,B+,B+,A,A,B-,P,3.28,3.28,,A,B,A-,B+,B-,B,A-,A,B-,P,3.25,3.27,,A,A-,B+,B,A-,P,A-,H,3.6,3.33,,C+,B-,B-,A,C+,A,B,A,P,A,D+,P,2.92,3.22,,B-,B,B,C+,B,P,A-,B,P,3.06,3.19,,B,B-,B+,C+,P,B-,P,2.84,3.16,,A-,B+,B,B-,P,B,B,P,3.05,3.14,,P,B+,B-,A-,P,P,P,3.1,3.14,,H,3.14,,H,3.14,,P,3.14,,P,3.14,,401,,,,263,100
91042,B-,B+,B+,A,A-,A-,B,A-,A,B+,P,3.44,3.44,,A,A,A-,B+,A,B-,A-,B+,B,P,3.52,3.48,,A,C+,B+,B,C,P,B,H,2.78,3.34,,B,C,B,B+,B,B+,B,B,P,B,C+,P,2.85,3.21,,B,B,B,C,B,P,B+,B,P,2.97,3.17,,C,C+,B-,C-,P,B-,P,2.3,3.08,,A-,C+,B-,C,P,C+,C,P,2.48,3.01,,P,B-,C-,A,P,P,P,2.48,2.97,,H,2.97,,H,2.97,,H,2.97,,H,2.97,,553,,,,512,428
94932,A,C-,B+,B+,B,B-,A-,A,A,B,P,3.2,3.2,,A-,B,B+,C+,A-,A,A,A,B+,P,3.44,3.32,,A,A-,A-,B,A,P,A,H,3.78,3.41,,B,B+,B,A,B,A,A,A,P,A-,A-,P,3.54,3.44,,A,A,B,C+,B,P,A-,A,P,3.41,3.44,,A-,B-,A-,B,P,A,P,3.46,3.44,,A,B,B,B,P,A-,B,H,3.29,3.42,,P,A-,A-,A,P,H,H,3.75,3.44,,H,3.44,,H,3.44,,H,3.44,,H,3.44,,332,,,,515,646
93316,A,A-,B+,A,B+,A-,B,A-,A,B,P,3.54,3.54,,A,B,A-,A-,A,B+,A-,A-,B,P,3.47,3.5,,A,C+,B-,B-,A,P,A-,H,3.3,3.46,,B+,A-,B,A-,A-,A,A,A-,P,B,B-,P,3.38,3.44,,A-,A-,A,B+,B,P,B+,B+,P,3.49,3.45,,B+,B+,B,A-,P,A-,P,3.37,3.44,,A,B,B+,B+,P,B+,A-,P+,3.4,3.43,,P,A-,B+,B,P,P+,H,3.39,3.43,,H,3.43,,H,3.43,,H,3.43,,P,3.43,,578,,,,515,419
92906,A,A,A,A,A,A,A,A,A,A,P,4,4,,A,A,A,A,A,A,A,A,A-,P,3.93,3.96,,A,A,A,A-,A,P,A,P+,3.96,3.96,,A-,A,A,A,A-,A,A,A,P,A,A,P,3.95,3.96,,A,A,A,A,A,P,A,A,P,4,3.96,,A,A,A,A,P,A-,P,3.94,3.96,,A,A,A-,A,P,A,A-,P+,3.9,3.95,,P,A,A,A-,P,P+,P+,3.94,3.95,,H,3.95,,H,3.95,,H,3.95,,H,3.95,,696,,,,695,578
92681,A,C,B,A-,A-,B,B+,A,A,B,P,3.33,3.33,,A,B,B+,A-,B-,A,A,A,B,P,3.41,3.37,,A,B,B,B,B+,P,B,P+,3.2,3.34,,B,A-,B+,A-,B-,A-,A,A,P,A,C+,P,3.35,3.34,,A,A-,B+,B,B+,P,A,A,P,3.62,3.39,,B,B,A,C,P,A-,P,3.2,3.37,,A,B+,B,B+,P,A,A-,H,3.52,3.39,,P,B+,A,B+,P,H,H,3.61,3.4,,P,3.4,,H,3.4,,H,3.4,,H,3.4,,399,,,,455,395
85171,A,D,C+,B+,C+,B,B,B,A-,B-,P,2.77,2.77,,C+,D+,C-,D+,A,B-,A,A-,C-,P,2.31,2.55,,A-,D+,B-,C,C+,P,B-,P,2.37,2.51,,C+,D+,C+,B,D,B-,C+,D,P,B,F,P,1.78,2.31,,C+,B-,C,D+,C,P,B+,B-,P,2.34,2.4,,B,C+,B-,C,P,B-,P,2.6,2.42,,A-,B,B,C+,P,C,A-,P,2.77,2.46,,P,B+,C-,A,P,P,P,2.7,2.48,,P,2.48,,P,2.48,,P,2.48,,H,2.48,,363,,,,462,341
93378,A,C,B-,A-,B+,B,A-,A,A,B+,P,3.3,3.3,,A,A,A,A,A,A-,A,A,B,P,3.76,3.52,,A,B+,A,B+,A,P,A-,H,3.72,3.56,,B+,A-,A,A,B,A-,A,A,P,A,B,P,3.65,3.59,,A,A,A,B+,A-,P,A,A,P,3.89,3.64,,A-,A-,A-,B+,P,A,P,3.7,3.64,,A,B+,B+,B+,P,B+,A-,P+,3.43,3.62,,P,A,B,B+,P,P+,P+,3.41,3.6,,P,3.6,,H,3.6,,H,3.6,,H,3.6,,489,,,,611,578
89855,A,D,B,A-,A-,C+,B-,A-,A-,B-,P,3.03,3.03,,A,B-,B-,B+,C-,B+,B+,B+,B,P,3.01,3.02,,A,B,B-,B,A-,P,B+,P+,3.31,3.07,,B,B,B,B+,B,B+,B+,B+,P,A,B-,P,3.15,3.09,,A-,B+,B-,B,B+,P,A,A-,P,3.38,3.14,,B-,B-,B-,A-,P,B,P,2.89,3.12,,A,B,B,B-,P,B,A-,P+,3.13,3.12,,P,A,A-,A-,P,P+,P+,3.8,3.16,,H,3.16,,P,3.16,,H,3.16,,H,3.16,,452,,,,485,414
84401,A-,D+,C-,B-,B,C-,B-,A,A,C,P,2.58,2.58,,A-,B,B,C,A,B+,B,B,C-,P,2.86,2.72,,A-,B-,B-,C+,A-,P,B,H,3.08,2.79,,C+,B,C,A-,C,B+,A,A-,P,B+,C+,P,2.85,2.81,,A,B,B-,B-,C,P,A-,B-,P,2.97,2.83,,B,C+,B-,C,P,A-,P,2.8,2.83,,A,B-,B-,C,P,B,A-,P,2.87,2.83,,P,B+,C+,A-,P,P,P,2.91,2.84,,P,2.84,,P,2.84,,P,2.84,,P,2.84,,306,,,,270,623
95087,A-,B-,B,A,B,C-,B,A,A,B+,P,3.1,3.1,,A,C,B-,B-,C-,A-,A,A,B,P,3.01,3.05,,A,C+,B,C+,A-,P,B,H,3.08,3.06,,A,B,B,A-,C+,A,A,A,P,A,B,P,3.39,3.15,,B,A,A-,B,A,P,A,A,P,3.75,3.25,,A,B+,A-,B-,P,A,P,3.62,3.28,,A,A-,A,B+,P,A,A,P,3.81,3.35,,P,A-,A,A-,P,P,P,3.83,3.38,,P,3.38,,H,3.38,,P,3.38,,H,3.38,,287,426,,,364,308
85847,A,B+,B+,A-,A,B+,A-,A,A,A-,P,3.68,3.68,,A-,A-,A-,B+,A-,B+,A,A,B+,P,3.6,3.64,,A,B,B-,B,B-,P,B+,P,3.06,3.53,,C+,C+,B-,A,B,B+,A-,B,P,A-,B,P,3.09,3.41,,B,B,B,C+,B-,P,B,B+,P,2.93,3.33,,B,B-,B,C+,P,B-,P,2.78,3.28,,A-,B+,C+,B-,P,B+,B,H,2.96,3.24,,P,B,D+,B+,P,H,H,2.28,3.18,,H,3.18,,H,3.18,,H,3.18,,H,3.18,,565,,,,530,596
